request;intent
Quali community smells sono presenti in questa repository LINK?;get_smells
CADOCS, puoi dirmi quali community smells sono presenti in questa repository LINK;get_smells
Mi mandi gli smells presenti in questa repository LINK? ;get_smells
posso chiederti quali Community smells sono presenti in questa repository Link?;get_smells
Quali community smells sono presenti nella repository LINK;get_smells
puoi dirmi che community smells sono presenti in questo LINK repository;get_smells
Mostrami quali community smells sono presenti alla seguente repository: LINK;get_smells
Ciao CADOCS, mi potresti dire quali potenziali community smells sono stati riscontrati in questa repository?;get_smells
puoi dirmi quali community smells sono presenti in questa repository LINK?;get_smells
Ciao CADOCS, potresti dirmi quali community smells sono presenti in questa repository LINK?;get_smells
i community smells nella repository LINK;get_smells
Quali community smells contiene questa repository link?;get_smells
Avrei bisogno dei community smells presenti in questa repository;get_smells
Quali sono i community smells presenti in questa repository LINK?;get_smells
Ciao CADOCS, puoi dirmi quali community smells sono presenti in questa repository LINK? ;get_smells
CADOCS, indicami i community smells presenti nella repository LINK;get_smells
Dammi i community smells di questa repository LINK;get_smells
Forniscimi i community smells di questa repository LINK;get_smells
Ciao CADOCS, in questa repository quali sono i community smells?;get_smells
Elencati le community smells presenti nella seguente repository LINK;get_smells
Saresti in grado di dirmi quali sono i community smells in questa repository LINK;get_smells
Dimmi i community smells della repo LINK;get_smells
community smells LINK;get_smells
dammi gli smells in questa repository LINK;get_smells
Dimmi gli smells presenti qui LINK;get_smells
Ehi cadocs, dimmi i community smells di questo progetto LINK;get_smells
ciao cadocs, mostrami i community smell della repository LINK;get_smells
Ciao CADOCS, puoi dirmi quali community smells sono presenti in questa repository LINK;get_smells
CADOCS, potresti dirmi quali community smells sono presenti in LINK;get_smells
Mi mostri i community smells relativi a LINK;get_smells
Ciao CADOCS, puoi dirmi quale community smells sono presenti in questo repository LINK?;get_smells
Ciao, puoi lavorare su questa repo? LINK;get_smells
Ciao CADOCS, puoi dirmi quali community smells sono presenti in questa repository LINK?;get_smells
CADOCS, puoi dirmi quali community smells sono presenti in questa repository LINK?;get_smells
Mostrami i community smells presenti in LINK;get_smells
Ciao CADOCS, mi dici i community smells di questa repository LINK;get_smells
CADOCS, quali community smell ci sono in questa repo: LINK;get_smells
Quali sono i community smells presenti in questa repository: LINK;get_smells
CADOCS, che mi dici di LINK? ;get_smells
CADOCS, puoi dirmi quali community smells sono presenti nella mia ultima repository LINK?;get_smells
Mi fornisci tutti i community smells presenti in questa repository LINK? ;get_smells
Cadocs quali community smells sono presenti in questa repository LINK?;get_smells
CADOCS dimmi i community smells di questa respository LINK;get_smells
mostrami i community smells in LINK;get_smells
Quali community smells ci sono in questa repository?;get_smells
Forniscimi i community smells della repository LINK;get_smells
Che community smells ci sono in questa repository LINK ?;get_smells
Mostrami i community smells in LINK;get_smells
Cadocs dimmi quali sono community smells in questa repository LINK;get_smells
Dammi la lista dei community smells di questa repo LINK;get_smells
CADOCS puoi dirmi quali sono le community smells presenti in questa repository LINK?;get_smells
CADOCS dimmi quali sono le community smells presenti in questa repository LINK;get_smells
CADOCS, data la repository LINK, potresti indicarmi gli eventuali community smells presenti? Grazie.;get_smells
Ciao, ho bisogno dei community smells di questa repository LINK;get_smells
Quali community smells sono presenti in questa repository LINK dal 10/05/2022 in poi?;get_smells_date
CADOCS puoi dirmi quali community smells sono presenti in questa repository LINK dal 10/05/2022 ad oggi?;get_smells_date
Dimmi quali sono i community smells in questa repository LINK dal 9 maggio 2022 in poi? ;get_smells_date
dimmi quali Community smells sono presenti in questa repository Link dal 10/05/2022;get_smells_date
Quali community sono presenti nella repository LINK dal 10/05/2022;get_smells_date
puoi dirmi che community smells sono presenti dal 10/05/2002 in poi in questa repository LINK ;get_smells_date
Dimmi quali community smalls sono presenti in questa repository: LINK;get_smells_date
Dammi tutti i community smells su questa repository LINK dopo la data di ieri;get_smells_date
puoi dirmi quali community smells sono presenti in questa repository LINK dal 10/05/2022 in poi?;get_smells_date
CADOCS potresti dirmi quali community smells sono presenti in questa repository LINK dal 10/05/2022 in poi?;get_smells_date
Quali community smells sono presenti in questa repository LINK dal 01/01/2023 in poi?;get_smells_date
dammi i community smells nella repository LINK dal 10/05/2022;get_smells_date
Da dopo il 10/05/2022 quali community smells sono presenti nella repository LINK?;get_smells_date
Vorrei sapere i community smells di questa repository LINK dal 1 gennaio 2023;get_smells_date
Quali sono i community smells che puoi identificare in questa repository LINK dal 27/11/2017 in avanti?;get_smells_date
CADOCS puoi dirmi quali community smells sono presenti in questa repository LINK dal 10/05/2022 in poi? ;get_smells_date
puoi dirmi quali community smells sono presenti in questa repository LINK dal 25/11/2022 in poi?;get_smells_date
CADOCS dimmi i community smells presenti nella repository LINK dal 14/01/2021;get_smells_date
Dammi i community smells di questo progetto LINK dal 10/03/2023?;get_smells_date
Forniscimi i community smells sul progetto LINK dal 02/03/2022;get_smells_date
CADOCS mi puoi fornire i community smells della repository LINK dal 10/03/2022?;get_smells_date
Elencami i community smells presenti nella seguente ripository dal 10/05/2020 ad oggi;get_smells_date
Mi elenchi i community smells in questa repository dal 22/02/2021 in poi? ;get_smells_date
Community smells dal 10/04/22 al 10/05/22 della repo LINK;get_smells_date
community smells LINK 12/12/23;get_smells_date
mi dici gli smells della repository LINK a partire da 14/03/2023?;get_smells_date
Cercami gli smells dal 29/05/2022 su LINK;get_smells_date
Quali community smells sono presenti dopo il 15/05/2022 su LINK;get_smells_date
ciao cadocs, quali community smell sono presenti nella repository LINK dal 10/05/2023;get_smells_date
CADOCS puoi dirmi quali community smells sono presenti in questa repository LINK dal 19/05/2022 in poi?;get_smells_date
CADOCS forniscimi i community smells che sono presenti nella repository LINK da 21/01/2019 in poi;get_smells_date
Mostrami i community smells di LINK a partire da 10/05/2022;get_smells_date
CADOCS puoi dirmi quali community smells sono presenti in questa repository LINK dal 10/05/2022 in poi?;get_smells_date
Dammi i community smells di LINK dal 11/01/2022;get_smells_date
Ciao CADOCS puoi dirmi quali community smells sono presenti in questa repository LINK dal 10/05/2022 in poi?;get_smells_date
CADOCS, puoi dirmi quali community smells sono presenti in questa repository LINK a partire dal 10/05/2022 in poi?;get_smells_date
Mostrami i community smells presenti in LINK dal DATA;get_smells_date
CADOCS potresti dirmi i community smells di questa repository LINK dal 10/05/2022 in poi?;get_smells_date
CADOCS, quali community smell ci sono dal 22/05/2022 in poi in questa repo: LINK;get_smells_date
Quali sono i community smells presenti dal 10/05/2022 alla seguente repository: LINK;get_smells_date
CADOCS, quali sono i community smells degli ultimi tre mesi sul progetto LINK? ;get_smells_date
CADOCS puoi dirmi quali community smells sono presenti in questa repository LINK dal 10/05/2022?;get_smells_date
