original_request;paraphrased_request;intent
dimmi quali Community smells sono presenti in questa repository Link dal 10/05/2022;dimmi quali Community smels sono presenti tn questa repository Link dal 1 / 05 / 2022;get_smells_date
Che tipo di community smells riesci a rilevare?;Che tipo do community smalls riesci g rilevare?;info
Da dopo il 10/05/2022 quali community smells sono presenti nella repository LINK?;Da dopo in 10pm / 05 / 2022 quali community smells sono presenti nella repository LINK?;get_smells_date
Ciao, quali sono i community smells in data 12/12/20 del progetto LINK? Grazie in anticipo.;Ciao, quali sono i comunity smells in date 12th / 12 / 20 del progetto LINK? Grazie in anticipo.;get_smells_date
Mostrami l'ultima esecuzione.;Mostrami L ' ultima esecuzione.;report
Ciao CADOCS, potresti dirmi quali community smells sono presenti nel repository LINK a partire dal 21/03/2019?;Ciao CADOCS, potresti dirmi quali communit smalls sono presenti nel repository LINK aa partire dal 21 / 03 / 2019?;get_smells_date
CADOCS potresti dirmi i community smells di questa repository LINK dal 10/05/2022 in poi?;CADOCS potresti dirmi I’ve comunity smells di questa repository LINK dal 10 / 05 / 2022 is poi?;get_smells_date
Mostrami l'ultimo report ;Mostrami 1 ' ultimo reprot;report
Vorrei sapere i community smells di questa repository LINK dal 1 gennaio 2023;Vorrei sapere i communit smalls do questa repository LINK dal 1 gennaio 2023;get_smells_date
Puoi darmi ulteriori informazioni sui community smells che riesci a rilevare?;Puoi darmi ulteriori informazioni sui communit smalls che riesci e rilevare?;info
CADOCS, cerca smells nel LINK.;CADOCS, cerca smell's nel LINK.;get_smells
CADOCS, quali community smells sono presenti nel progetto LINK?;CADOCS, quali commmunity smalls sono presenti nel progetto LINK?;get_smells
Hey CADOCS, puoi segnalare i community smells nel repository LINK?;Hey CADOCS, puoi segnalare I communit smels nel repository LINK?;get_smells
CADOCS dal giorno 07/06/2021 quali community smells ci sono in questa repository LINK?;CADOCS dal giorno 07 / 06 / 2021 quali comunity smels ci sono ih questa repository LINK?;get_smells_date
Forniscimi i community smells sul progetto LINK dal 02/03/2022;Forniscimi ye communit smell's sul progetto LINK dal 02 / 03 / 2022;get_smells_date
CADOCS dimmi quali community smells puoi identificare;CADOCS dimmi quali comunnity smeels puoi identificare;info
CADOCS puoi dirmi quali community smells sono presenti in questa repository LINK dal 19/05/2022 in poi?;CADOCS puoi dirmi quali community smalls sono presenti ina questa repository LINK dal 19 / 05 / 2022 im poi?;get_smells_date
Ciao, quali sono tutti i community smells nella data del progetto LINK 12/12/20? Grazie in anticipo.;Ciao, quali sono tutti l community smells nella data del progetto LINK 12th / 12 / 20? Grazie iin anticipo.;get_smells_date
Mi serve il numero del report della tua ultima esecuzione, per favore.;Mi serve it numero del reprot della tua ultima esecuzione, por favore.;report
Ciao CADOCS. Quali community smells sono presenti dal 10/05/2022 in questa repository LINK? ;Caio CADOCS. Quali comunnity smells sono presenti dal 1o / 05 / 2022 in questa repository LINK?;get_smells_date
