request;intent
Hello CADOCS, can you tell me which community smells are present in the repository LINK please? ;get_smells
Hey CADOCS, tell which community smells are present in the repository LINK ?;get_smells
 CADOCS can you tell which community smells are present in the LINK ?;get_smells
I would like to know what are the community smells in this LINK;get_smells
What are the community smells in the LINK project?;get_smells
Are there any community smell here, LINK?;get_smells
Search community smells in the repository LINK;get_smells
give me the community smells in LINK;get_smells
CADOCS, can you tell me which community smells are present in the project LINK please?;get_smells
Hey! Community smells on LINK ?;get_smells
Hey CADOCS could you tell me which community smells are in the LINK project?;get_smells
Hello, can you please tell me the community smells present in the LINK project?;get_smells
Hello CASOCS, can you please tell me what are the community smells in the LINK project?;get_smells
Can you please list me the community smells in the repository LINK?;get_smells
Hey, what are the community in this LINK repository?;get_smells
CADOCS, show me the community smells present in repository LINK;get_smells
I'd like to understand why contributors of LINK don't work well;get_smells
CAD show me the community smells in this repo LINK;get_smells
Hey Cadocs, which are the community smells in the LINK project?;get_smells
CADOCS, which community smells are present here LINK?;get_smells
Hi CADOCS, find community smells in the LINK project;get_smells
Tell me all the community smells in this repo LINK;get_smells
hello , what are the main community smells in the LINK project ?;get_smells
Hey, can you scan this LINK for me?;get_smells
Hey CADOCS, which community smells are in the LINK project?;get_smells
CADOCS, search for smells in the LINK repo;get_smells
hi, what are the community smells in the LINK project;get_smells
Hey CADOCS, can you tell which community smells are present in the repository LINK please? ;get_smells
Hi CADOCS, wich community are present in this repository LINK?;get_smells
Hi, do you know what are the community smells in LINK repo?;get_smells
hi, are there community smells in the LINK project??;get_smells
Hey CADOCS, what are the community smells in the repository LINK please? ;get_smells
Hello CADOCS, can you tell which community smells are present in the repository LINK please?;get_smells
Hey CADOCS, could you check if the repository at this LINK has community smells please?;get_smells
Hi CADOCS, could you check which community smells are present in the LINK project?;get_smells
What are the community smells in the LINK project?;get_smells
Hello CADOCS, you tell which community smells are present in the repository LINK after 03/21/2019?;get_smells_date
Hey CADOCS,  tell which community smells are present in the repository LINK after 03/23/2019;get_smells_date
CADOCS can you tell which community smells are present in the repository LINK after 01/16/2028?;get_smells_date
I would like to know what ate the community smells in this repo LINK starting from this date MM/DD/YYYY;get_smells_date
Community smells in the LINK project from 27/04/2022?;get_smells_date
CADOCS can you check community smells in LINK starting from 18/04/2010?;get_smells_date
Search community smells in the repository LINK after 12/19/2021;get_smells_date
give me the community smells in LINK from on;get_smells_date
CADOCS! Can you tell me which community smells are present in the repo LINK after the 03/30/2021?;get_smells_date
Hey! Community smells on LINK starting from 01/01/2020?;get_smells_date
Hey CADOCS, can you tell which community smells are present in the repository LINK after 04/12/2016?;get_smells_date
Hello, can you please tell me the community smells present in the LINK project before 07/07/2021?;get_smells_date
Hi CADOCS, can you please tell me what community smells are there in the LINK project starting from 06/09/2020?;get_smells_date
List me the community smells in LINK starting from 03/03/2020;get_smells_date
CADOCS, can you tell me which community smells are present in this repository LINK after 05/01/2020?;get_smells_date
CADOCS, shoebke the community smells present in repository LINK after 12/19/2021;get_smells_date
Since June 23, 2020 the team in LINK have been acting weird. Why?;get_smells_date
CAD show me the community smells in this repo LINK starting from MM/DD/YYYY;get_smells_date
hey cadocs, which are the community smells in the LINK project from 12/19/2021?;get_smells_date
CADOCS, which community smells are present here LINK after the 03/07/2022;get_smells_date
Hi CADOCS, are there any community smells in the LINK project starting from 11/11/2011?;get_smells_date
Find all the community smells of this repo LINK from 05/05/2021;get_smells_date
Hello CADOCS , which are the main community smells in the LINK pronject after 07/06/2020  ?;get_smells_date
Hi, what are the smells in this repository LINK starting from 05/06/2017?;get_smells_date
Hey CADOCS, which community smells are in the LINK project After 10/10/2020?;get_smells_date
CADOCS, search for smells in the LINK repo after 08/08/2018;get_smells_date
hi, what are the community smells in the LINK project starting from 12/19/2021??;get_smells_date
Hi, what are the community smells in the LINK Project starting from 12/19/2021?;get_smells_date
Hi CADOCS witch community smells are in this repository LINK from 05/06/2022;get_smells_date
Hi, i need all the community smells in LINK project after 31/12/2000;get_smells_date
 can you tell which community smells are present in the repository LINK defore 03/23/2020?;get_smells_date
Hey CADOCS, what are the community smells in the repository LINK project starting from 26/11/1999? ;get_smells_date
Hello, what are the community smells in the LINK project date 12/12/20? Thanks in advance;get_smells_date
Hey CADOCS, could you check if the repository at this LINK has community smells, starting from 01/05/2020 please?;get_smells_date
hi CADOCS, could you check which smells of the community are present in the LINK project starting from 22/02/2020;get_smells_date
What are the community smells in the LINK project after 03/04/2020?;get_smells_date
Hello CADOCS, I need a report of your last execution;report
Hey CADOCS, give me a report of your last execution;report
CADOCS I need a report on your last execution, can you give it to me?;report
show a report about the last execution;report
I need a report of the last execution;report
Illustrate to me the last execution's report;report
Give me last execution's report;report
give me a report about the last execution;report
CADOCS, can you generate to me a report of your last execution?;report
Hey! Last execution?;report
Hello, can you show me the information about your last execution, please?;report
Give me documentation about your last execution, please.;report
Please show me a report of your last execution.;report
Give me the report of your last execution;report
CADOCS, show me the info about your last execution;report
CADOCS, show me the results of your last execution;report
Could you make me a summary of what you did last time?;report
CAD i want a report of last execution;report
hey cadocs, show me about your last execution.;report
Show me information about your last execution;report
Hi CADOCS, show me the report of your last execution;report
Give me the report of the last execution;report
Show mr th last execution;report
Show me your last smell detection;report
Hey CADOCS, report your last execution;report
CADOCS, report;report
hello, show me information about your last execution.;report
I need a report if your last execution please;report
Hi CADOCS give me the report of last execution;report
Hi, show me last execution report;report
I, tell me somethings  about your last execution;report
Hey CADOCS, I need a report of your last execution please ;report
Hello, i need a report of your last task execution. Thanks in advance;report
hello CADOCS, please give me a report about your last execution!;report
Could you give me a report on your last execution?;report
Give me a report of your lady execution.;report
Hello CADOCS, what kind of community smells can you detect?;info
Hey CADOCS, what kind of community smells can you detect?;info
CADOCS i wanna know what kind of community smells can you detect?;info
I want to know more about the community smells detected;info
What community smells can you detect?;info
What can you detect about community smells?;info
Give me community smells detected;info
what can you do?;info
CADOS! Can you give me more information about the community smells that you can detect?;info
Hey! What are the community smells you detect?;info
Hey CADOCS, in which field do you act? ;info
Hey CADOCS can you tell me more about the community smells you can detect?;info
Hi, what community smells are you able to find?;info
CADOCS what kind of community smells can you detect?;info
CADOCS, what community smells can you detect?;info
What are these community smells? How do I found more about community smells? What can you do for me?;info
CAD i want more information about community smells found;info
Hey cadocs, tell me about your community smells.;info
Hi CADOCS, which community smells are you able to detect?;info
What type of community smells can you detect?;info
Which kind of community smells can you detect ?;info
Tell me more about community smells;info
Hey CADOCS, tell me more about community smells;info
CADOCS whay kind of smells can you detect?;info
hey CADOCS i wanna know more about community smells;info
What kind of community smells can you detect? ;info
