request;intent
Ciao CADOCS, potresti indicarmi i community smells presenti nel repository LINK?;get_smells
Hey CADOCS, puoi segnalare i community smells nel repository LINK?;get_smells
CADOCS, puoi elencare i community smells presenti nel LINK?;get_smells
Vorrei conoscere i community smells in questo LINK.;get_smells
Quali sono i community smells nel progetto LINK?;get_smells
Ci sono dei community qui, LINK?;get_smells
Trova i community smells nel repository LINK.;get_smells
Dammi i community smells presenti nel LINK.;get_smells
CADOCS, puoi dirmi i community smells nel progetto LINK, per favore?;get_smells
Ehi, Community su LINK?;get_smells
Hey CADOCS, potresti indicarmi i community smells nel progetto LINK?;get_smells
Ciao, puoi dirmi il community smells attuale nel progetto LINK?;get_smells
Ciao CADOCS, puoi elencarmi i community smells nel progetto LINK?;get_smells
Puoi elencarmi i community smells nel repository LINK?;get_smells
Ehi, quali sono i community in questo LINK repository?;get_smells
CADOCS, mostrami i community smells presenti nella repository LINK.;get_smells
Vorrei capire perché i collaboratori di LINK non funzionano bene.;get_smells
CADOCS, mostrami i community smells in questo LINK.;get_smells
Hey Cadocs, quali sono i community smells nel progetto LINK?;get_smells
CADOCS, quali community smells sono presenti qui, LINK?;get_smells
Ciao CADOCS, trova i community smells nel progetto LINK.;get_smells
Dimmi tutto sui community smells in questo LINK.;get_smells
Hello, quali sono i principali smells nel progetto LINK?;get_smells
Ehi, puoi esaminare questo LINK?;get_smells
Hey CADOCS, quali community smells fanno parte del progetto LINK?;get_smells
CADOCS, cerca smells nel LINK.;get_smells
Ciao, quali sono i community smells nel progetto LINK?;get_smells
Hey CADOCS, puoi segnalare i community smells nel repository LINK, per favore?;get_smells
Ciao CADOCS, quali sono i community presenti in questo repository LINK?;get_smells
Ciao, sai quali sono i community smells nel repo LINK?;get_smells
Ciao, ci sono dei community smells nel progetto LINK?;get_smells
Hey CADOCS, quali sono i community smells nel repository LINK, per favore?;get_smells
Ciao CADOCS, puoi dirmi i community smells presenti nel repository LINK, per favore?;get_smells
Hey CADOCS, puoi verificare se il repository di questo LINK ha dei community smells, per favore?;get_smells
Ciao CADOCS, potresti controllare quali sono i community smells presenti nel progetto LINK?;get_smells
Quali sono i community smells nel progetto LINK?;get_smells
Ciao CADOCS, potresti dirmi i community smells presenti nel repository LINK a partire dal 21/03/2019?;get_smells_date
Hey CADOCS, puoi segnalare i community smells nel repository LINK dopo il 23/03/2019?;get_smells_date
CADOCS, puoi indicare i community smells presenti nel repository LINK dopo il 01/16/2028?;get_smells_date
Vorrei sapere cosa ha causato i community smells in questo LINK a partire da questa data MM/GG/AAAA;get_smells_date
